shipment_id,order_id,shipment_date,delivery_date,carrier,tracking_number,shipment_status,shipping_cost
SHP00002992,O00003456,2026-02-10,,FedEx,TRK72864753968,In Transit,0.00
SHP00002993,O00003457,2024-06-01,2024-06-05,India Post,TRK58158622845,Delivered,149.00
SHP00002994,O00003458,2026-06-09,,DHL,TRK16540603919,Processing,99.00
SHP00002995,O00003459,2024-05-05,2024-05-12,Delhivery,TRK65329408781,Delivered,49.00
SHP00002996,O00003460,2024-12-31,,Delhivery,TRK42544994298,In Transit,0.00
SHP00002997,O00003463,2024-04-28,2024-04-30,DTDC,TRK77500515529,Delivered,99.00
SHP00002998,O00003464,2025-01-26,2025-01-30,Delhivery,TRK99615860605,Delivered,49.00
SHP00002999,O00003465,2025-06-28,2025-07-05,DTDC,TRK72152089671,Delivered,79.00
SHP00003000,O00003467,2024-07-29,,FedEx,TRK68621677605,Processing,99.00
SHP00003001,O00003468,2025-01-09,,Delhivery,TRK24589323309,In Transit,79.00
SHP00003002,O00003469,2026-04-28,,FedEx,TRK95061445889,Processing,149.00
SHP00003003,O00003470,2024-12-04,2024-12-07,FedEx,TRK42953882858,Delivered,149.00
SHP00003004,O00003471,2026-01-03,2026-01-07,India Post,TRK90773111912,Delivered,0.00
SHP00003005,O00003472,2025-01-13,,DHL,TRK77175757487,In Transit,79.00
SHP00003006,O00003473,2026-05-13,2026-05-11,India Post,TRK99739587000,Delivered,79.00
SHP00003007,O00003474,2026-05-03,2026-05-04,FedEx,TRK84810333104,Delivered,99.00
SHP00003008,O00003475,2025-07-16,,BlueDart,TRK52908931150,In Transit,99.00
SHP00003009,O00003476,2026-02-17,,DTDC,TRK43671757439,Processing,149.00
SHP00003010,O00003477,2025-02-13,2025-02-18,dhl,TRK25636947805,Delivered,49.00
SHP00003011,O00003478,2024-08-12,,Delhivery,TRK20104655020,In Transit,99.00
SHP00003012,O00003479,2024-02-23,,Delhivery,TRK27084334564,Processing,0.00
SHP00003013,O00003480,2024-04-30,2024-05-04,DHL,TRK15649867684,Delivered,49.00
SHP00003014,O00003481,2026-02-08,2026-02-12,DHL,TRK69570530385,Delivered,49.00
SHP00003015,O00003482,2026-06-30,,India Post,TRK99260965261,Processing,0.00
SHP00003016,O00003483,2025-12-29,,DTDC,TRK13791422494,Processing,99.00
SHP00003017,O00003484,2025-08-01,2025-08-06,India Post,TRK27179945003,Delivered,79.00
SHP00003018,O00003485,2024-12-04,2024-12-05,BlueDart,TRK51439703280,Delivered,149.00
SHP00003019,O00003486,2025-01-28,,FedEx,TRK66983744640,In Transit,79.00
SHP00003020,O00003487,2024-08-31,2024-09-04,India Post,TRK46570577845,Delivered,49.00
SHP00003021,O00003488,2024-07-28,,BlueDart,TRK68215526354,Processing,49.00
SHP00003022,O00003489,2025-02-04,2025-02-10,BlueDart,TRK98728062620,Delivered,0.00
SHP00003023,O00003490,2026-03-30,2026-04-01,Delhivery,TRK82638645770,Delivered,0.00
SHP00003024,O00003491,2026-06-08,,India Post,TRK54838453920,Processing,99.00
SHP00003025,O00003492,2025-04-27,,BlueDart,TRK45672929489,Processing,79.00
SHP00003026,O00003495,2025-05-01,2025-05-03,Delhivery,TRK60992463613,Delivered,49.00
SHP00003027,O00003496,2025-12-31,,DHL,TRK14108049113,In Transit,99.00
SHP00003028,O00003497,2024-04-22,,BlueDart,TRK44287626093,In Transit,79.00
SHP00003029,O00003499,2024-03-16,2024-03-23,Delhivery,TRK73323799127,Delivered,149.00
SHP00003030,O00003500,2024-05-03,2024-05-10,DTDC,TRK67607282599,Delivered,0.00
SHP00003031,O00003501,2026-04-20,2026-04-22,DHL,TRK40126097838,Delivered,79.00
SHP00003032,O00003502,2024-09-24,2024-09-29,FedEx,TRK11074229170,Delivered,149.00
SHP00003033,O00003503,2026-02-28,2026-03-07,DTDC,TRK27062422000,Delivered,0.00
SHP00003034,O00003505,2025-10-31,2025-11-07,DHL,TRK19428747359,Delivered,49.00
SHP00003035,O00003506,2026-06-21,,Delhivery,TRK77192589971,In Transit,0.00
SHP00003036,O00003508,2025-12-27,2025-12-30,BlueDart,TRK96563931474,Delivered,149.00
SHP00003037,O00003509,2024-06-17,2024-06-23,DTDC,TRK11004376572,Delivered,0.00
SHP00003038,O00003511,2026-04-16,2026-04-21,FedEx,TRK20480437111,Delivered,99.00
SHP00003039,O00003512,2024-01-06,,BlueDart,TRK25288716556,In Transit,0.00
SHP00003040,O00003513,2025-08-19,,DHL,TRK32423778540,In Transit,79.00
SHP00003041,O00003514,2024-07-01,2024-07-05,Delhivery,TRK16024918511,Delivered,79.00
SHP00003042,O00003515,2024-08-06,2024-08-08,BlueDart,TRK99314248845,Delivered,0.00
SHP00003043,O00003517,2024-06-15,,BlueDart,,In Transit,149.00
SHP00003044,O00003518,2024-03-06,2024-03-09,Delhivery,TRK50725253421,Delivered,149.00
SHP00003045,O00003519,2025-06-05,,DTDC,TRK96070756480,Processing,49.00
SHP00003046,O00003520,2025-10-07,2025-10-13,BlueDart,TRK13083261467,Delivered,99.00
SHP00003047,O00003521,2025-03-11,2025-03-17,BlueDart,TRK59506693899,Delivered,49.00
SHP00003048,O00003522,2024-08-20,2024-08-23,DTDC,TRK77646166168,Delivered,99.00
SHP00003049,O00003523,2025-03-05,,FedEx,TRK71621201042,In Transit,49.00
SHP00003050,O00003524,2026-04-14,2026-04-18,BlueDart,TRK42780071031,Delivered,99.00
SHP00003051,O00003525,2025-04-20,,FedEx,TRK13523426214,Processing,49.00
SHP00003052,O00003526,2024-09-17,2024-09-20,DTDC,TRK33081549912,Delivered,99.00
SHP00003053,O00003527,2025-09-27,2025-09-28,india post,TRK49955135999,Delivered,79.00
SHP00003054,O00003528,2026-04-29,,DTDC,TRK99176248535,Processing,99.00
SHP00003055,O00003529,2025-10-29,2025-11-02,DHL,TRK63643315809,Delivered,0.00
SHP00003056,O00003530,2024-05-26,2024-06-02,BlueDart,TRK71810410008,Delivered,49.00
SHP00003057,O00003533,2025-10-15,,Delhivery,TRK26985015193,Processing,99.00
SHP00003058,O00003534,2026-04-20,,DHL,TRK44309771622,Processing,0.00
SHP00003059,O00003535,2025-07-03,2025-07-09,FedEx,TRK13519700188,Delivered,149.00
SHP00003060,O00003536,2025-11-07,2025-11-14,BlueDart,TRK37976782141,Delivered,79.00
SHP00003061,O00003538,2024-06-16,2024-06-19,India Post,TRK36274543584,Delivered,49.00
SHP00003062,O00003539,2025-10-21,,India Post,TRK80797298793,Processing,79.00
SHP00003063,O00003540,2025-09-09,2025-09-14,FedEx,TRK42129054284,Delivered,49.00
SHP00003064,O00003541,2026-01-26,,Delhivery,TRK34635301058,In Transit,99.00
SHP00003065,O00003542,2025-05-05,2025-05-12,Delhivery,TRK94806221249,Delivered,149.00
SHP00003066,O00003543,2024-07-21,2024-07-24,DTDC,TRK97840424276,Delivered,99.00
SHP00003067,O00003545,2024-04-25,,BlueDart,TRK46043720308,Processing,79.00
SHP00003068,O00003546,2024-11-23,,DHL,TRK18599948473,In Transit,149.00
SHP00003069,O00003547,2026-04-30,2026-05-01,FedEx,TRK35261125138,Delivered,79.00
SHP00003070,O00003548,2024-03-19,2024-03-25,BlueDart,TRK83553841058,Delivered,0.00
SHP00003071,O00003550,2025-04-04,,India Post,TRK57234143218,In Transit,149.00
SHP00003072,O00003551,2024-12-02,,FedEx,TRK33412799379,In Transit,79.00
SHP00003073,O00003552,2024-03-23,,DTDC,TRK10209091573,Processing,79.00
SHP00003074,O00003553,2024-11-30,2024-12-03,Delhivery,TRK86237565065,Delivered,149.00
SHP00003075,O00003554,2024-08-09,2024-08-12,DHL,TRK85260140991,Delivered,79.00
SHP00003076,O00003555,2024-12-26,2024-12-29,DTDC,TRK19618164686,Delivered,0.00
SHP00003077,O00003556,2025-05-24,2025-05-27,India Post,TRK34853070029,Delivered,0.00
SHP00003078,O00003557,2024-11-20,2024-11-22,DTDC,TRK11137285256,Delivered,49.00
SHP00003079,O00003558,2026-05-01,,India Post,TRK80529728275,Processing,0.00
SHP00003080,O00003559,2024-12-04,,BlueDart,TRK71140388935,In Transit,99.00
SHP00003081,O00003561,2025-11-24,,FedEx,TRK78521908897,In Transit,149.00
SHP00003082,O00003562,2024-12-28,,DHL,TRK31540639137,Processing,99.00
SHP00003083,O00003563,2024-06-21,,FedEx,TRK16036150229,Processing,79.00
SHP00003084,O00003564,2024-04-01,2024-04-08,BlueDart,TRK28362901975,Delivered,49.00
SHP00003085,O00003565,2024-08-20,,DHL,TRK70163887395,In Transit,79.00
SHP00003086,O00003566,2026-05-08,,DTDC,TRK61527105926,In Transit,149.00
SHP00003087,O00003567,2025-11-25,,India Post,TRK87608517323,In Transit,0.00
SHP00003088,O00003568,2026-02-15,2026-02-21,BlueDart,TRK48851998346,LOST??,99.00
SHP00003089,O00003569,2024-03-19,,DHL,TRK97352009502,Processing,149.00
SHP00003090,O00003570,2024-07-16,,FedEx,TRK27577459704,In Transit,49.00
SHP00003091,O00003571,2025-08-06,2025-08-13,DHL,TRK97953304004,Delivered,99.00
SHP00003092,O00003572,2025-09-21,,FedEx,TRK34272964569,Processing,79.00
SHP00003093,O00003573,2024-02-18,,India Post,TRK47661770148,In Transit,149.00
SHP00003094,O00003574,2024-02-10,2024-02-15,FedEx,TRK90628262304,Delivered,149.00
SHP00003095,O00003575,2025-10-08,2025-10-11,FedEx,TRK92240230668,Delivered,0.00
SHP00003096,O00003576,2025-01-21,2025-01-27,dtdc,TRK62862849455,Delivered,49.00
SHP00003097,O00003577,2025-08-30,,BlueDart,TRK42747655288,Processing,79.00
SHP00003098,O00003578,2024-02-25,2024-02-29,FedEx,TRK80968667298,Delivered,99.00
SHP00003099,O00003579,2025-07-17,2025-07-19,Delhivery,TRK75193063751,Delivered,99.00
SHP00003100,O00003580,2024-05-26,,India Post,TRK66847624576,Processing,149.00
SHP00003101,O00003582,2025-12-12,2025-12-16,FedEx,TRK55427036116,Delivered,79.00
SHP00003102,O00003583,2025-05-05,2025-05-08,India Post,TRK67358590620,Delivered,0.00
SHP00003103,O00003584,2025-12-08,2025-12-10,FedEx,TRK36365770828,Delivered,99.00
SHP00003104,O00003585,2026-05-13,,India Post,TRK77970140525,In Transit,0.00
SHP00003105,O00003587,2025-06-04,2025-06-08,Delhivery,TRK72274173814,Delivered,0.00
SHP00003106,O00003588,2024-08-09,,DTDC,TRK43309754487,Processing,49.00
SHP00003107,O99999999,2024-01-09,2024-01-15,DHL,TRK58104407400,Delivered,99.00
SHP00003108,O00003590,2026-04-30,,BlueDart,TRK26045094085,In Transit,0.00
SHP00003109,O00003591,2025-01-11,2025-01-14,Delhivery,TRK32265925296,Delivered,99.00
SHP00003110,O00003592,2025-06-16,,DTDC,TRK82902382597,Processing,99.00
SHP00003111,O00003593,2025-05-22,2025-05-27,DHL,TRK21011830570,Delivered,79.00
SHP00003112,O00003594,2024-05-29,2024-06-02,BlueDart,TRK69332688475,Delivered,99.00
SHP00003113,O00003595,2024-11-15,,BlueDart,TRK31115576642,Processing,49.00
SHP00003114,O00003596,2024-01-15,2024-01-22,BlueDart,TRK61039923853,Delivered,49.00
SHP00003115,O00003597,2025-04-13,,FedEx,TRK82725297363,Processing,0.00
SHP00003116,O00003598,2025-08-23,2025-08-25,India Post,TRK59607928252,Delivered,49.00
SHP00003117,O00003599,2024-08-12,,BlueDart,TRK61755593321,In Transit,49.00
SHP00003118,O00003600,2024-09-26,,India Post,TRK42805703794,Processing,0.00
SHP00003119,O00003602,2025-08-17,,Delhivery,TRK89099850928,Processing,79.00
SHP00003120,O00003603,2025-11-10,2025-11-15,Delhivery,TRK77163701178,Delivered,0.00
SHP00003121,O00003604,2025-09-06,2025-09-13,FedEx,TRK91869444458,Delivered,79.00
SHP00003122,O00003605,invalid_date,2024-04-15,DTDC,TRK61332185777,Delivered,0.00
SHP00003123,O00003607,2025-05-02,2025-05-08,BlueDart,TRK73562348502,Delivered,99.00
SHP00003124,O00003608,2024-01-09,2024-01-16,Delhivery,TRK98471663770,Delivered,0.00
SHP00003125,O00003609,2026-03-15,2026-03-22,India Post,TRK78226486326,Delivered,0.00
SHP00003126,O00003610,2025-09-01,2025-09-04,India Post,TRK52941472456,Delivered,149.00
SHP00003127,O00003611,2026-06-17,2026-06-20,BlueDart,TRK96243050368,Delivered,149.00
SHP00003128,O00003612,2025-12-27,2026-01-02,India Post,TRK51336745364,Delivered,0.00
SHP00003129,O00003613,2024-09-04,,DHL,TRK74771577724,Processing,99.00
SHP00003130,O00003614,2026-06-29,,FedEx,TRK54729006103,Processing,79.00
SHP00003131,O00003616,2025-09-06,,DHL,TRK14352892075,Processing,79.00
SHP00003132,O00003617,2024-10-24,,DTDC,TRK37446288125,In Transit,149.00
SHP00003133,O00003618,2025-10-25,2025-10-28,BlueDart,TRK44427187871,Delivered,79.00
SHP00003134,O00003619,2025-06-06,2025-06-09,Delhivery,TRK55972543990,Delivered,79.00
SHP00003135,O00003620,2024-12-27,,Delhivery,TRK44904860467,In Transit,149.00
SHP00003136,O00003621,2026-06-21,2026-06-28,FedEx,TRK78496496213,Delivered,49.00
SHP00003137,O00003622,2026-01-24,2026-01-29,FedEx,TRK95572914674,Delivered,149.00
SHP00003138,O00003623,2024-09-18,2024-09-22,FedEx,TRK68538974824,Delivered,0.00
SHP00003139,O00003624,2024-09-02,,india post,TRK70336687239,Processing,99.00
SHP00003140,O00003625,2025-09-25,,BlueDart,TRK28990035968,In Transit,0.00
SHP00003141,O00003626,2024-11-24,,BlueDart,TRK18912246531,Processing,0.00
SHP00003142,O00003628,2024-11-28,2024-12-05,FedEx,TRK15017470876,Delivered,149.00
SHP00003143,O00003629,2025-04-29,,Delhivery,TRK50839480578,Processing,99.00
SHP00003144,O00003630,2025-07-10,2025-07-11,BlueDart,TRK93702792101,Delivered,99.00
SHP00003145,O00003632,2024-09-19,,DHL,TRK15738628340,In Transit,0.00
SHP00003146,O00003633,2024-12-18,2024-12-19,Delhivery,TRK76430883564,Delivered,49.00
SHP00003147,O00003634,2025-04-07,2025-04-13,BlueDart,TRK32908549047,Delivered,79.00
SHP00003148,O00003636,2024-03-11,,FedEx,TRK58269430186,Processing,149.00
SHP00003149,O00003637,2024-01-26,,DTDC,TRK87856730136,In Transit,149.00
SHP00003150,O00003639,2024-05-26,,Delhivery,TRK94537595079,In Transit,149.00
SHP00003151,O00003640,2026-06-16,,DHL,TRK39969176464,Processing,149.00
SHP00003152,O00003641,2025-07-23,2025-07-29,Delhivery,TRK20363753975,Delivered,79.00
SHP00003153,O00003642,2025-03-03,2025-03-07,BlueDart,TRK61305611683,Delivered,79.00
SHP00003154,O00003643,2025-09-10,,India Post,TRK61320959372,Processing,49.00
SHP00003155,O00003645,2024-09-09,2024-09-15,Delhivery,TRK93129700022,Delivered,149.00
SHP00003156,O00003648,2025-10-30,2025-11-01,FedEx,TRK15803483791,Delivered,49.00
SHP00003157,O00003649,2024-03-23,2024-03-29,FedEx,TRK83886587252,Delivered,79.00
SHP00003158,O00003650,2025-08-02,,Delhivery,TRK67236892030,Processing,0.00
SHP00003159,O00003651,2025-06-26,,DTDC,TRK33697468418,Processing,0.00
SHP00003160,O00003652,2024-10-28,2024-11-03,DTDC,TRK38120919050,Delivered,0.00
SHP00003161,O00003653,2024-05-04,,BlueDart,TRK93733024024,In Transit,79.00
SHP00003162,O00003654,2026-01-11,2026-01-15,India Post,TRK19022440525,Delivered,149.00
SHP00003163,O00003655,2024-02-23,,India Post,TRK21594434434,In Transit,79.00
SHP00003164,O00003657,2024-09-17,,India Post,TRK13938577765,Processing,99.00
SHP00003165,O00003658,2025-04-02,,DTDC,TRK20788725611,In Transit,-25.00
SHP00003166,O00003659,2025-09-27,,FedEx,TRK30985448916,Processing,99.00
SHP00003167,O00003660,2025-10-03,,India Post,TRK30232907825,Processing,49.00
SHP00003168,O00003661,2024-10-25,,Delhivery,TRK63173464093,Processing,149.00
SHP00003169,O00003662,2025-06-16,2025-06-23,DTDC,TRK87349343693,Delivered,79.00
SHP00003170,O00003663,2024-08-18,2024-08-22,India Post,TRK80204856741,Delivered,149.00
SHP00003171,O00003664,2024-07-30,2024-08-06,DHL,TRK18118186197,Delivered,99.00
SHP00003172,O00003665,2024-08-04,2024-08-08,BlueDart,TRK92505239280,Delivered,79.00
SHP00003173,O00003666,2024-07-01,2024-06-29,BlueDart,TRK49667103149,Delivered,49.00
SHP00003174,O00003667,2024-12-28,2024-12-31,DTDC,TRK47424841519,Delivered,79.00
SHP00003175,O00003668,2025-08-08,,DTDC,TRK18141383165,In Transit,49.00
SHP00003176,O00003671,2025-12-17,2025-12-18,BlueDart,TRK91436947372,Delivered,149.00
SHP00003177,O00003672,2026-06-21,2026-06-25,DTDC,TRK32214794745,Delivered,99.00
SHP00003178,O00003673,2025-07-07,,FedEx,TRK67952497342,Processing,99.00
SHP00003179,O00003674,2026-06-14,2026-06-18,DHL,TRK52730060987,Delivered,149.00
SHP00003180,O00003676,2024-05-30,,Delhivery,TRK39560538435,In Transit,149.00
SHP00003181,O00003677,2024-08-06,2024-08-10,Delhivery,TRK60539098391,Delivered,99.00
SHP00003182,O00003678,2024-07-15,2024-07-22,delhivery,TRK61741468216,Delivered,49.00
SHP00003183,O00003679,2024-02-07,,FedEx,TRK46670482766,Processing,79.00
SHP00003184,O00003680,2024-12-15,2024-12-22,FedEx,TRK43817451646,Delivered,149.00
SHP00003185,O00003681,2024-01-25,,DHL,TRK91422920719,Processing,149.00
SHP00003186,O00003682,2025-04-22,,FedEx,TRK35044114014,In Transit,0.00
SHP00003187,O00003683,2026-05-07,2026-05-11,Delhivery,TRK32868564266,Delivered,0.00
SHP00003188,O00003684,2024-06-10,,BlueDart,TRK76779725749,In Transit,0.00
SHP00003189,O00003685,2025-05-03,2025-05-08,BlueDart,TRK77380011425,Delivered,99.00
SHP00003190,O00003686,2024-11-04,2024-11-06,DHL,TRK26366339790,Delivered,149.00
SHP00003191,O00003689,2026-01-16,,DHL,TRK45491268961,Processing,149.00
SHP00003192,O00003690,2025-03-24,2025-03-26,DTDC,TRK70697701040,Delivered,99.00
SHP00003193,O00003691,2024-07-17,2024-07-20,Delhivery,TRK39949989817,Delivered,0.00
SHP00003194,O00003693,2024-11-03,2024-11-05,DTDC,TRK88242011642,Delivered,0.00
SHP00003195,O00003696,2025-11-21,,Delhivery,TRK65988598839,In Transit,0.00
SHP00003196,O00003697,2025-12-21,,India Post,TRK72008861893,In Transit,49.00
SHP00003197,O00003698,2026-02-27,,BlueDart,TRK34478759086,In Transit,149.00
SHP00003198,O00003700,2026-01-18,,Delhivery,TRK33322115561,Processing,79.00
SHP00003199,O00003701,2026-02-27,2026-02-28,BlueDart,TRK12554110440,Delivered,79.00
SHP00003200,O00003702,2024-12-23,,FedEx,TRK45225529851,Processing,49.00
SHP00003201,O00003704,2024-10-14,,India Post,TRK31795995910,Processing,49.00
SHP00003202,O00003705,2025-01-20,2025-01-23,DTDC,TRK49267214576,Delivered,49.00
SHP00003203,O00003706,2025-12-07,2025-12-12,Delhivery,TRK90282190999,Delivered,99.00
SHP00003204,O00003707,2024-08-22,,India Post,TRK13381719667,In Transit,149.00
SHP00003205,O00003708,2025-12-20,2025-12-23,DTDC,TRK25680954662,Delivered,149.00
SHP00003206,O00003709,2024-03-17,2024-03-18,DHL,TRK45639847065,Delivered,79.00
SHP00003207,O00003710,2025-11-28,2025-12-04,BlueDart,TRK98002851703,Delivered,99.00
SHP00003208,O00003711,2024-01-14,2024-01-21,FedEx,TRK70815409087,Delivered,49.00
SHP00003209,O00003713,2025-03-19,2025-03-23,India Post,TRK87897896402,Delivered,79.00
SHP00003210,O00003714,2024-04-08,2024-04-10,Delhivery,TRK19301458743,Delivered,49.00
SHP00003211,O00003715,2024-11-25,,Delhivery,TRK59310633751,Processing,0.00
SHP00003212,O00003716,2025-10-05,,DHL,TRK98776459596,Processing,99.00
SHP00003213,O00003717,2024-11-14,,BlueDart,TRK24463870901,In Transit,0.00
SHP00003214,O00003718,2024-11-05,2024-11-10,DHL,TRK74407518840,Delivered,149.00
SHP00003215,O00003719,2025-12-12,2025-12-17,DHL,TRK90372864113,Delivered,149.00
SHP00003216,O00003720,2024-05-23,2024-05-29,DTDC,TRK97557198030,Delivered,149.00
SHP00003217,O00003721,2024-11-06,,India Post,TRK80325927515,In Transit,99.00
SHP00003218,O00003722,2025-06-06,,DHL,TRK82312211164,Processing,149.00
SHP00003219,O00003723,2024-04-19,,BlueDart,TRK37542266688,Processing,79.00
SHP00003220,O00003724,2025-08-11,2025-08-16,Delhivery,TRK24959230394,Delivered,149.00
SHP00003221,O00003725,2024-08-05,,FedEx,TRK17957932652,Processing,49.00
SHP00003222,O00003726,2024-09-02,2024-09-06,BlueDart,,Delivered,99.00
SHP00003223,O00003727,2026-05-19,2026-05-22,Delhivery,TRK59286062536,Delivered,99.00
SHP00003224,O00003728,2024-01-23,2024-01-26,DHL,TRK42258198808,Delivered,0.00
SHP00003225,O00003729,2025-12-29,2026-01-05,delhivery,TRK59011988640,Delivered,149.00
SHP00003226,O00003730,2024-01-28,2024-02-03,DTDC,TRK37758920051,Delivered,79.00
SHP00003227,O00003731,2026-06-17,2026-06-21,FedEx,TRK86811471869,Delivered,0.00
SHP00003228,O00003732,2024-01-20,2024-01-25,BlueDart,TRK43411417850,Delivered,49.00
SHP00003229,O00003733,2024-11-18,2024-11-19,DTDC,TRK51554251859,Delivered,0.00
SHP00003230,O00003734,2025-03-26,2025-04-02,DHL,TRK50043926878,Delivered,49.00
SHP00003231,O00003735,2026-01-07,,Delhivery,TRK41547514264,Processing,79.00
SHP00003232,O00003736,2024-11-05,2024-11-07,Delhivery,TRK94596947245,Delivered,149.00
SHP00003233,O00003737,2026-04-07,2026-04-13,Delhivery,TRK14807361857,Delivered,149.00
SHP00003234,O00003738,2024-07-04,,DTDC,TRK55937339347,In Transit,99.00
SHP00003235,O00003739,2024-04-29,2024-05-02,India Post,TRK44593626351,Delivered,149.00
SHP00003236,O00003740,2024-11-29,2024-12-02,India Post,TRK47874259209,Delivered,149.00
SHP00003237,O00003743,2024-01-25,2024-02-01,BlueDart,TRK65344312012,Delivered,79.00
SHP00003238,O00003744,2025-10-16,,BlueDart,TRK94759640868,Processing,49.00
SHP00003239,O00003745,2024-05-19,2024-05-22,BlueDart,TRK52102792120,Delivered,149.00
SHP00003240,O00003746,2024-06-17,,DTDC,TRK79869541893,In Transit,0.00
SHP00003241,O00003748,2025-02-12,,Delhivery,TRK10003459083,In Transit,49.00
SHP00003242,O00003749,2025-06-19,,DHL,TRK86711228964,Processing,79.00
SHP00003243,O00003751,2026-06-04,2026-06-06,DTDC,TRK30912111336,Delivered,49.00
SHP00003244,O00003752,2025-02-12,,DTDC,TRK76499954359,In Transit,0.00
SHP00003245,O00003753,2025-05-24,,BlueDart,TRK59388385843,Processing,99.00
SHP00003246,O00003754,2025-04-09,,DHL,TRK30105088744,In Transit,149.00
SHP00003247,O00003755,2024-10-21,2024-10-26,DHL,TRK35072829242,Delivered,79.00
SHP00003248,O00003756,2025-01-25,,DTDC,TRK97533233489,Processing,99.00
SHP00003249,O00003757,2024-04-25,2024-04-29,DTDC,TRK60773087180,Delivered,149.00
SHP00003250,O00003758,2025-03-11,2025-03-12,FedEx,TRK26205696743,Delivered,49.00
SHP00003251,O00003759,2025-06-03,,FedEx,TRK76624216512,In Transit,99.00
BADSHIP3252,O00003760,2024-05-07,2024-05-13,BlueDart,TRK64370626751,Delivered,99.00
SHP00003253,O00003761,2025-02-18,2025-02-24,Delhivery,TRK48100077050,Delivered,99.00
SHP00003254,O00003763,2025-08-28,2025-09-04,FedEx,TRK98153764367,Delivered,149.00
SHP00003255,O00003764,2025-03-10,2025-03-12,BlueDart,TRK88309637357,Delivered,149.00
SHP00003256,O00003765,2025-07-09,,Delhivery,TRK27129850044,Processing,99.00
SHP00003257,O00003766,2026-01-29,2026-02-01,India Post,TRK48732679908,Delivered,49.00
SHP00003258,O00003767,2025-08-03,2025-08-04,India Post,TRK33020960923,Delivered,149.00
SHP00003259,O00003768,2026-02-20,,DTDC,TRK82988074229,In Transit,99.00
SHP00003260,O00003770,2026-03-07,2026-03-10,DHL,TRK16711483484,Delivered,99.00
SHP00003261,O00003771,2026-01-14,,India Post,TRK76727464129,In Transit,49.00
SHP00003262,O00003772,2026-06-15,2026-06-19,India Post,TRK82707797858,Delivered,0.00
SHP00003263,O00003775,2024-02-21,2024-02-23,India Post,TRK18992914850,Delivered,99.00
SHP00003264,O00003777,2024-08-26,2024-08-29,DTDC,TRK40815980410,Delivered,149.00
SHP00003265,O00003778,2024-10-01,,BlueDart,TRK27851724778,Processing,149.00
SHP00003266,O00003779,2024-08-29,2024-08-30,BlueDart,TRK51316119353,Delivered,0.00
SHP00003267,O00003780,2026-06-13,,BlueDart,TRK52616735209,Processing,79.00
SHP00003268,O00003781,2026-06-27,2026-07-04,dtdc,TRK83961467542,Delivered,99.00
SHP00003269,O00003783,2024-07-04,2024-07-10,FedEx,TRK64102128134,Delivered,149.00
SHP00003270,O00003785,2026-03-10,,DTDC,TRK25792281846,In Transit,79.00
SHP00003271,O00003786,2024-07-07,2024-07-13,Delhivery,TRK63663400259,Delivered,149.00
SHP00003272,O00003787,2025-06-08,2025-06-11,India Post,TRK22354758653,Delivered,49.00
SHP00003273,O00003788,2025-09-08,,Delhivery,TRK90996619300,In Transit,99.00
SHP00003274,O00003789,2024-11-12,2024-11-18,BlueDart,TRK70502715450,Delivered,0.00
SHP00003275,O00003790,2025-02-24,2025-03-01,BlueDart,TRK95596665061,Delivered,99.00
SHP00003276,O00003791,2024-05-28,,Delhivery,TRK42472899089,In Transit,79.00
SHP00003277,O00003792,2025-02-09,,India Post,TRK63761079513,In Transit,49.00
SHP00003278,O00003793,2024-03-07,2024-03-12,Delhivery,TRK89813664904,Delivered,49.00
SHP00003279,O00003794,2024-06-07,2024-06-11,FedEx,TRK88746051871,Delivered,49.00
SHP00003280,O00003795,2024-12-30,2025-01-01,BlueDart,TRK38713554753,Delivered,49.00
SHP00003281,O00003796,2024-12-19,2024-12-21,FedEx,TRK90089748541,LOST??,0.00
SHP00003282,O00003797,2024-06-27,2024-07-01,BlueDart,TRK18167698571,Delivered,99.00
SHP00003283,O00003798,2025-04-28,2025-05-02,DHL,TRK44849822468,Delivered,99.00
SHP00003284,O00003799,2025-08-29,,BlueDart,TRK41328765303,In Transit,0.00
SHP00003285,O00003800,2024-11-23,,Delhivery,TRK66645645776,Processing,0.00
SHP00003286,O00003801,2025-02-05,,DHL,TRK67866629958,In Transit,49.00
SHP00003287,O00003803,2025-12-09,2025-12-15,DHL,TRK68441988793,Delivered,99.00
SHP00003288,O00003804,2026-06-12,2026-06-15,FedEx,TRK20310922502,Delivered,149.00
SHP00003289,O00003806,2025-11-23,2025-11-29,DHL,TRK51421156276,Delivered,99.00
SHP00003290,O00003808,2025-12-24,2025-12-25,Delhivery,TRK68046207575,Delivered,0.00
SHP00003291,O00003809,2024-04-19,,Delhivery,TRK42562604855,In Transit,0.00
SHP00003292,O00003810,2025-06-25,,DTDC,TRK99672103134,Processing,49.00
SHP00003293,O00003811,2024-12-06,2024-12-08,BlueDart,TRK36755985302,Delivered,79.00
SHP00003294,O00003812,2024-03-09,,BlueDart,TRK34824219801,In Transit,0.00
SHP00003295,O00003813,2024-04-04,2024-04-07,Delhivery,TRK77445414389,Delivered,99.00
SHP00003296,O00003814,2025-03-22,2025-03-24,FedEx,TRK37526180466,Delivered,149.00
SHP00003297,O00003815,2025-03-27,,Delhivery,TRK18691101787,In Transit,99.00
SHP00003298,O00003817,2026-03-10,2026-03-12,Delhivery,TRK15464897363,Delivered,0.00
SHP00003299,O00003819,2025-07-24,,DTDC,TRK12207547296,In Transit,79.00
